Timestamp,"Do you work, live or access services in Klickitat or Skamania County?",Please enter the ZIP CODE for the community you live in:,What are you involved in locally that helps you live a happy life or get support when you need it?,Which of these best describes your housing today?  (mark all that apply),Is HOUSING a challenge in your community?,"If you said 'yes', please mark all the reasons HOUSING is a problem for you or for people you know:",Did you or anyone else in your household lose a job as a result of COVID-19?,Do you have access to the internet at home?,How many people are in your household (sharing income and expenses)?,"During the past year, what was the total gross income for your household?  ",Is EMPLOYMENT a challenge in your community?,"If you said 'yes', please mark all the reasons EMPLOYMENT is a problem for you or for people you know:","During the 12 months BEFORE covid-19 lockdowns in March, did you or the people you live with worry that you would run out of food before you were able to get more?  ","During the months AFTER covid-19 lockdowns, did you or the people you live with worry that you would run out of food before you were able to get more?  ",Is FOOD a challenge in your community?,"If you said 'yes', please mark all the reasons FOOD is a problem for you or for people you know:",Is TRANSPORTATION a challenge in your community?,If you said 'yes' please mark all the reasons TRANSPORTATION is a problem for you or for people you know:,Is HEALTH CARE a challenge in your community?,"If you said 'yes', please mark all the reasons HEALTH CARE is a problem for you or for people you know:",Please mark the gender you most identify with: ,What age group are you in?,Please select the races or ethnicities you most identify with:,Please mark all WAGAP services you currently use:,"Please share how you feel about this statement: ""WAGAP has helped me learn how or where to get services or other things I need in life""","Please share how you feel about this statement: ""Working with WAGAP has made me feel more hopeful about my community or my life.""","If there are other big problems in your community, or you have an idea about how WAGAP could help - or if there is anything else you would like us to know, please explain here:",survey completed in Spanish
10/05/2020 10:17,Yes,98605,"Community or civic volunteer group, Close friends","I am staying in a shelter, a car, a tent or on the street","Yes, somewhat","Cost of rent or house payment, Not enough housing available to rent or buy",yes,Yes,5,"Less than $15,000","Yes, somewhat","People lack skills or education needed, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",Sometimes,Sometimes,No,"Lack of transportation to grocery stores or markets, Reduced access to free and reduced school meals because of COVID-19 school closures","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license, Limited public transportation",No,,Female,18-64 years old,White,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Pathways Community Health Connect - care coordination, Community Youth Center, Food Bank",Strongly Agree,Agree,not really that iíve heard of ,
10/05/2020 11:16,Yes,98605,"Community or civic volunteer group, Close friends","I am staying in a shelter, a car, a tent or on the street","Yes, somewhat","Cost of rent or house payment, Not enough housing available to rent or buy",yes,Yes,5,"Less than $15,000","Yes, somewhat","People lack skills or education needed, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",Sometimes,Sometimes,No,"Lack of transportation to grocery stores or markets, Reduced access to free and reduced school meals because of COVID-19 school closures","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license, Limited public transportation",No,,Female,18-64 years old,White,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Pathways Community Health Connect - care coordination, Community Youth Center, Food Bank",Strongly Agree,Agree,not really that iíve heard of ,
10/05/2020 12:58,Yes,98605,"Community or civic volunteer group, Close friends","I am staying in a shelter, a car, a tent or on the street","Yes, somewhat","Cost of rent or house payment, Not enough housing available to rent or buy",yes,Yes,5,"Less than $15,000","Yes, somewhat","People lack skills or education needed, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",Sometimes,Sometimes,No,"Lack of transportation to grocery stores or markets, Reduced access to free and reduced school meals because of COVID-19 school closures","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license, Limited public transportation",No,,Female,18-64 years old,White,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Pathways Community Health Connect - care coordination, Community Youth Center, Food Bank",Strongly Agree,Agree,not really that iíve heard of ,
12/01/2020 16:24,Yes,98648,"Faith group or church, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,Sometimes,4,"$15,000 to $29,999",No,n/a,"Yes, many times",Sometimes,"Yes, a BIG problem!",Not enough income to purchase food,"Yes, somewhat",Cost of gasoline,No,n/a,Female,18-64 years old,White,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Pathways Community Health Connect - care coordination, Food Bank",Agree,Strongly Agree,,
10/07/2020 08:56,Yes,98610,"Faith group or church, Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",no,Yes,1,"Less than $15,000","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours","Yes, many times",Sometimes,"Yes, a BIG problem!","Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, a BIG problem!","Cost of care is not affordable, Not enough mental health treatment options",Female,65 years or older,White,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Pathways Community Health Connect - care coordination, Home Energy Assistance, Food Bank",Strongly Agree,Strongly Agree,,
12/01/2020 16:35,Yes,98648,Close friends,"I have housing, but I AM WORRIED about losing it","Yes, somewhat",People accepting HUD Sec 8,no,No,1,"$15,000 to $29,999","Yes, somewhat",Wages are too low to cover monthly expenses,"Yes, many times",Sometimes,"Yes, somewhat",Not enough income to purchase food,"Yes, somewhat",Limited public transportation,"Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable",Female,18-64 years old,White,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Pathways Community Health Connect - care coordination, Home Energy Assistance, Housing and Essential Needs (HEN), Food Bank",Strongly Agree,Strongly Agree,,
10/05/2020 10:00,Yes,98605,Faith group or church,"I am staying in a shelter, a car, a tent or on the street","Yes, somewhat","Cost of rent or house payment, Not enough housing available to rent or buy",no,Sometimes,5,"$15,000 to $29,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",Sometimes,"Yes, many times","Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Unable to get a driverís license, Limited public transportation",No,n/a,Male,18-64 years old,Hispanic/Latino/LatinX,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Pathways Community Health Connect - care coordination, Second Hand Rose thrift store, Food Bank",Agree,Agree,Just a issue with the wages are not enough to sustain living here.,
12/01/2020 16:05,Yes,98672,Community or civic volunteer group,I have housing and I am NOT worried about losing it,"Yes, a BIG problem!",Cost of rent or house payment,yes,No,1,"$15,000 to $29,999","Yes, a BIG problem!",Good paying jobs with benefits are hard to find,No,"Yes, many times","Yes, a BIG problem!","Lack of transportation to grocery stores or markets, Not enough income to purchase food",No,n/a,No,n/a,Male,18-64 years old,White,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Second Hand Rose thrift store",Strongly Agree,Strongly Agree,,
10/01/2020 11:49,Yes,98672,Close friends,"I am staying in a shelter, a car, a tent or on the street","Yes, somewhat","Cost of rent or house payment, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,1,"Less than $15,000","Yes, somewhat",Good paying jobs with benefits are hard to find,No,Sometimes,No,n/a,"Yes, somewhat",Cost of gasoline,No,n/a,Male,18-64 years old,Russian,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Second Hand Rose thrift store, Food Bank",Strongly Agree,Strongly Agree,,
10/06/2020 11:26,Yes,98610,"Sports team or club, Hobby groups (books clubs, art club, etc.), Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",no,Yes,3,"$45,000 to $64,999","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,Sometimes,"Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.)","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation",No,n/a,Female,18-64 years old,White,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Second Hand Rose thrift store, Food Bank",Agree,Agree,,
11/28/2020 12:01:36,Yes,96848,"Hobby groups (books clubs, art club, etc.), Community resources","I am staying in a shelter, a car, a tent or on the street, Other living arrangement (hotel, staying with friends, etc.)","Yes, somewhat","Cost of rent or house payment, Cost of utilities",yes,No,4,"$15,000 to $29,999","Yes, somewhat","People lack skills or education needed, Good paying jobs with benefits are hard to find",Sometimes,No,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline",No,,Male,18-64 years old,Hispanic/Latino/LatinX,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Second Hand Rose thrift store, Housing and Essential Needs (HEN)",Agree,Agree,,
10/01/2020 11:18,Yes,98610,"Faith group or church, Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities",no,No,2,"Less than $15,000","Yes, a BIG problem!",Wages are too low to cover monthly expenses,"Yes, many times","Yes, many times","Yes, a BIG problem!",Not enough income to purchase food,"Yes, a BIG problem!",Limited public transportation,No,n/a,Female,18-64 years old,African American/Black,Food Bank,Agree,Agree,We need more help w/some people who are mentally challenges,
10/20/2020 14:02:09,Yes,98620,None,I have housing and I am NOT worried about losing it,"Yes, somewhat",Cost of rent or house payment,no,No,2,"$15,000 to $29,999","Yes, a BIG problem!",Good paying jobs with benefits are hard to find,Sometimes,No,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food",No,n/a,No,n/a,Prefer not to answer,65 years or older,all,Food Bank,Strongly Agree,Strongly Agree,,
10/20/2020 15:58:43,Yes,98605,"Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of utilities, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",no,Yes,4,"$30,000 to $44,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Lack of affordable child care during work hours",Sometimes,Sometimes,No,n/a,No,n/a,No,n/a,Male,18-64 years old,Asian/Asian American,Food Bank,Strongly Agree,Strongly Agree,,
10/02/2020 09:46,Yes,98605,None,,No,,yes,Sometimes,1,"Less than $15,000","Yes, a BIG problem!",Wages are too low to cover monthly expenses,Sometimes,Sometimes,No,Not enough income to purchase food,"Yes, somewhat",,No,,Female,18-64 years old,Hispanic/Latino/LatinX,Food Bank,,,,
10/04/2020 08:47,Yes,98648,Faith group or church,"I am staying in a shelter, a car, a tent or on the street","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Sometimes,2,"Less than $15,000","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Not enough jobs",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation, Lack of last minute transportation needs. ","Yes, somewhat","Unsure where to go or what services are available, Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options, Policies in place making things more dangerous for injured/disabled to get to their medical rides.",Male,18-64 years old,Hispanic/Latino/LatinX,Food Bank,Strongly Disagree,Disagree,"Most of the services listed on page 8 I didn't even know about. Need to get the word out better.  Flyers? Mailings with list of services, etc.",
10/06/2020 00:02,Yes,98610,"Faith group or church, Hobby groups (books clubs, art club, etc.), Extended family","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",yes,Sometimes,2,"Less than $15,000","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",Sometimes,"Yes, many times","Yes, somewhat","Lack of transportation to grocery stores or markets, Reduced access to free and reduced school meals because of COVID-19 school closures","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, somewhat",Cost of care is not affordable,Female,65 years or older,Hispanic/Latino/LatinX,Food Bank,Neutral,Neutral,,
